ticker,earnings_date,fiscal_quarter,fiscal_quarter_end
DUK,2018-02-23,2014Q4,2014-12-31
DUK,2018-02-23,2016Q1,2016-03-31
DUK,2018-02-23,2016Q2,2016-06-30
DUK,2018-02-23,2016Q3,2016-09-30
DUK,2019-02-28,2015Q4,2015-12-31
DUK,2019-02-28,2017Q1,2017-03-31
DUK,2019-02-28,2017Q2,2017-06-30
DUK,2019-02-28,2017Q3,2017-09-30
DUK,2020-02-20,2016Q4,2016-12-31
DUK,2020-02-20,2018Q1,2018-03-31
DUK,2020-02-20,2018Q2,2018-06-30
DUK,2020-02-20,2018Q3,2018-09-30
DUK,2020-08-10,2019Q1,2019-03-31
DUK,2020-11-05,2019Q2,2019-06-30
DUK,2020-11-05,2019Q3,2019-09-30
DUK,2021-02-25,2017Q4,2017-12-31
DUK,2021-08-05,2020Q1,2020-03-31
DUK,2021-11-04,2020Q2,2020-06-30
DUK,2021-11-04,2020Q3,2020-09-30
DUK,2022-02-24,2018Q4,2018-12-31
DUK,2023-02-27,2019Q4,2019-12-31
DUK,2023-02-27,2021Q1,2021-03-31
DUK,2023-02-27,2021Q2,2021-06-30
DUK,2023-02-27,2021Q3,2021-09-30
ECL,2014-02-28,2010Q4,2010-12-31
ECL,2014-02-28,2012Q1,2012-03-31
ECL,2014-02-28,2012Q2,2012-06-30
ECL,2023-02-24,2021Q1,2021-03-31
ECL,2023-02-24,2021Q2,2021-06-30
ECL,2023-02-24,2021Q3,2021-09-30
HD,2014-03-27,2011Q1,2011-01-30
HD,2014-03-27,2012Q2,2012-04-29
HD,2014-03-27,2012Q3,2012-07-29
HD,2014-03-27,2012Q4,2012-10-28
HD,2015-08-25,2012Q1,2012-01-29
HD,2015-08-25,2013Q2,2013-05-05
HD,2015-08-25,2013Q3,2013-08-04
HD,2015-08-25,2013Q4,2013-11-03
HD,2016-03-24,2013Q1,2013-02-03
HD,2016-03-24,2014Q2,2014-05-04
HD,2016-03-24,2014Q3,2014-08-03
HD,2016-03-24,2014Q4,2014-11-02
HD,2017-03-23,2014Q1,2014-02-02
HD,2017-03-23,2015Q2,2015-05-03
HD,2017-03-23,2015Q3,2015-08-02
HD,2017-03-23,2015Q4,2015-11-01
HD,2018-03-22,2016Q1,2016-01-31
HD,2018-03-22,2016Q2,2016-05-01
HD,2018-03-22,2016Q3,2016-07-31
HD,2018-03-22,2016Q4,2016-10-30
HD,2019-03-28,2015Q1,2015-02-01
HD,2019-03-28,2017Q2,2017-04-30
HD,2019-03-28,2017Q3,2017-07-30
HD,2019-03-28,2017Q4,2017-10-29
HD,2020-03-25,2017Q1,2017-01-29
HD,2020-03-25,2018Q2,2018-04-29
HD,2020-03-25,2018Q3,2018-07-29
